a1,a2
601,504
1447,1057
3563,3023
3161,2721
2836,4256
7755,2172
9833,4459
3715,13592
6188,12453
10502,17760
6737,9014
11621,7224
1818,1725
2358,5001
7206,7894
7070,7567
3983,3311
2166,5337
3580,4897
1785,2516
1182,2574
3796,3731
2429,1405
456,1351
873,1137
249,370
178,216
104,106
44,21
7,3
1,1
