a1,a2
515,448
1283,987
2851,2586
2834,2626
2539,4068
8825,2326
8403,4658
3528,12806
6198,10954
9734,15871
6708,8434
13106,7186
1894,1695
2338,4441
6555,7942
6423,6973
3685,2995
1864,5131
3400,4668
1595,2227
1066,2284
3857,3627
2343,1388
443,1333
858,1044
242,356
187,218
107,101
43,22
7,4
1,1
