a1,a2
516,438
1197,1080
3141,2950
3140,3103
2937,4158
7448,1965
9929,5422
3861,13780
6337,11091
9245,16128
6419,8975
12236,7024
2321,1750
2491,4968
7198,8051
6823,7258
3513,3086
1931,5465
3415,4790
1768,2725
1304,2637
3894,3800
2478,1350
448,1342
889,1213
287,436
226,262
137,125
61,33
9,6
2,1
