a1,a2
52,741
101,1590
122,2110
86,1153
121,3078
81,2181
143,5005
193,5478
301,6262
149,5206
336,6811
237,5363
354,4912
233,3064
104,4229
168,4910
171,1907
187,2129
142,1875
145,2125
88,3635
50,2028
88,1226
28,787
39,393
30,301
20,147
16,73
7,14
8,1
6,1
2,
