a1,a2
4817,4464
4563,5339
2970,8207
7195,12294
7454,24002
3656,12021
5095,7989
16267,13978
18916,17544
14747,8277
20231,9816
14713,19532
12126,11758
5396,10732
6070,6689
4531,6927
4078,6311
6918,14017
7970,18741
7697,7076
7163,3822
5712,4838
2930,3690
3840,2771
2486,544
1070,332
731,359
207,38
37,10
5,1
3,0
0,
