a1,a2
5,616
5,1425
7,551
6,1522
9,1667
7,3974
7,5226
7,2420
7,4023
8,2959
8,7776
10,8196
8,5495
7,8672
5,4518
7,5839
6,5986
4,6850
6,4616
5,1678
5,1153
3,2343
4,778
5,1026
4,934
3,569
2,185
2,88
2,11
2,3
0,1
