a1,a2
17,145
13,456
20,508
26,348
16,207
9,104
11,127
23,601
25,185
20,118
24,391
36,563
26,351
46,667
41,544
33,458
33,699
27,984
24,453
10,582
14,335
16,292
15,139
7,189
9,116
4,85
5,61
6,29
6,10
4,4
1,1
