a1,a2
28,25
33,34
22,41
23,32
15,48
24,33
30,32
28,27
28,32
38,60
40,33
39,43
42,43
44,49
46,53
44,36
26,27
27,25
32,26
32,28
24,25
23,19
22,27
21,17
19,18
18,16
8,15
5,11
1,8
1,9
1,6
1,5
1,1
