a1,a2
161,3305
186,3540
270,8529
728,8441
632,14715
1205,15071
1280,17119
440,20819
430,38022
2123,74525
2242,142734
1754,123843
1849,177825
6761,193147
2831,81777
3306,66672
2339,63943
2254,72077
1728,149287
1755,101464
1518,51934
1451,38495
789,19270
364,5354
580,3399
239,2917
161,602
60,171
25,26
13,7
2,2
