a1,a2
4,3703
5,4108
5,8039
6,8391
7,5053
7,13636
7,19038
7,9104
8,28020
5,18627
7,8240
6,9745
6,40279
7,36231
7,34620
6,33418
6,19298
4,14680
4,17867
6,24699
4,14973
5,10457
5,5599
5,2869
5,2424
5,802
4,285
4,73
5,13
3,2
4,2
2,
