a1,a2
7,6
9,6
7,6
7,9
8,6
7,9
8,7
9,9
9,7
8,15
25,9
15,8
7,7
9,8
8,8
9,8
9,9
8,8
7,7
7,8
7,9
8,7
7,8
6,16
5,14
9,11
6,6
15,5
7,5
5,4
2,2
