a1,a2
826,2944
1192,3654
2139,7003
2109,8979
1895,17394
3609,20456
5403,35217
12114,32368
5347,22573
6864,35727
5464,32850
4596,22818
5199,29359
8977,99193
11246,76694
15596,94705
12709,46676
15619,84019
14801,54716
9892,30934
5844,19411
3207,14012
4417,4744
3356,6961
1595,1717
819,1553
208,352
127,178
15,14
8,5
2,1
