a1,a2
19,70
26,136
39,217
58,124
57,266
67,486
75,478
71,156
58,306
75,245
40,143
36,211
30,146
31,262
43,370
43,294
37,160
29,299
28,174
28,100
19,87
11,95
15,97
22,97
19,77
18,74
20,65
12,27
13,11
4,6
2,2
