a1,a2
13,6
12,7
14,10
8,16
7,8
7,7
8,14
9,7
9,16
12,9
20,15
15,23
11,18
8,19
8,7
6,8
8,6
6,7
14,8
23,7
6,7
6,6
8,6
4,6
5,5
13,4
14,6
3,3
5,5
3,3
1,1
