a1,a2
70,3729
82,8513
136,13646
151,9862
170,17828
268,23084
253,32331
168,20443
215,49224
280,30361
181,32978
253,41866
271,50072
216,43040
117,14745
236,22094
170,33750
195,52085
173,33005
288,41322
136,23540
234,15202
186,12642
179,3290
133,6501
88,2646
58,639
30,116
18,15
13,4
1,1
