a1,a2
18,978
31,2078
52,2858
70,6506
57,7133
109,7614
98,10302
82,15730
86,16619
99,12999
93,22331
92,21801
88,11495
95,24447
81,14625
61,26722
61,8772
62,6227
49,6049
48,4491
30,3943
51,4161
39,1845
42,1026
26,1080
34,663
33,258
26,171
18,24
11,2
8,2
2,
