a1,a2
17,1288
26,4131
23,5022
18,1315
20,12327
30,11341
34,12449
22,14003
18,19525
27,5767
21,13472
14,13638
20,38428
28,16987
35,28469
32,19926
25,17389
19,4160
20,2812
19,963
14,1536
17,4492
26,1882
24,3650
23,1050
24,1365
19,434
17,126
11,23
7,5
1,1
