a1,a2
16,217
15,549
16,771
21,409
12,295
11,201
13,273
24,1224
26,1164
23,1443
33,1340
36,1981
46,2271
44,1432
49,2162
31,1430
34,1392
44,1488
26,1236
24,1009
12,700
14,577
23,535
13,649
18,511
17,450
11,174
13,69
9,15
9,5
1,1
