a1,a2
160,3200
268,4099
280,6617
600,10053
531,17580
1022,25428
727,7115
979,24198
2015,88352
2313,52732
1457,83584
1205,48344
2647,120706
1357,124283
2371,185120
1422,60803
1887,55088
2550,11994
1305,11979
784,6100
494,3775
447,3455
204,2295
291,1491
228,621
176,1220
123,497
59,158
24,14
7,1
4,1
1,
