a1,a2
13,55
6,195
7,147
8,183
7,97
8,278
9,388
8,314
6,268
8,338
6,310
5,282
7,221
5,253
5,249
5,162
7,178
7,184
7,151
6,149
4,123
6,124
4,130
5,101
4,59
4,41
5,43
4,19
3,12
3,4
1,1
