a1,a2
17,77
45,231
29,159
45,242
42,221
50,266
48,183
44,217
47,218
47,130
47,314
46,128
42,120
47,370
47,296
47,192
44,129
51,130
46,104
47,220
42,161
41,134
44,97
36,105
32,62
17,53
20,44
15,10
8,7
6,3
1,1
