a1,a2
770,3752
701,4303
2111,6517
1265,11771
2574,13252
2870,17432
3965,15922
4863,45120
8561,35613
9917,53336
10470,71412
8987,33658
9044,43922
9345,66211
12894,90934
12938,37293
5619,74022
12276,41039
9708,48641
9109,37212
4321,18663
4985,12894
2483,11449
2948,4895
1731,1743
785,1051
572,354
177,76
50,12
9,5
1,1
