a1,a2
8049,9655
9678,26014
18589,19119
13631,41221
7451,11376
4731,11513
18035,35518
18088,23488
12078,26090
7356,16493
52801,118129
58327,32427
39011,62806
48284,51539
29511,40935
28347,48439
20817,52279
32914,33894
11287,8314
5639,14656
8842,11321
9947,2049
3564,9275
2550,7566
2201,1140
1171,2884
564,651
205,187
53,30
12,6
1,1
