a1,a2
105,10720
138,28084
243,45487
182,46390
162,34587
101,34219
156,56768
212,39638
227,77123
233,76602
304,124265
290,113343
357,104948
206,45562
177,24098
36,12999
58,14516
66,26497
31,4666
26,3083
43,1584
47,2221
56,2977
46,1327
37,1341
37,430
42,130
18,72
20,7
5,1
1,
