a1,a2
95,1343
165,3546
150,2269
132,1399
128,4260
350,5044
312,8788
332,25336
544,35876
772,57594
422,27215
639,21660
650,31738
566,34068
486,23527
387,19264
408,15679
319,9487
263,5527
222,5540
153,3206
112,2347
85,1480
69,1322
84,1956
81,1040
109,357
55,212
46,32
17,9
1,1
